,City,Cloudiness,Country,Date,Humidity,Latitute,Longitute,Max Temp,Wind
63,Faya,40,BR,1551812400,83,-22.97,-42.02,82.4,14.99
64,Roald,0,EC,1551813900,59,0.12,-76.97,91.4,6.93
65,East London,75,AU,1551815894,58,-42.78,147.06,53.6,8.05
66,Cape Town,0,PF,1551815609,100,-9.8,-139.03,82.51,19.04
67,Nome,32,GL,1551815900,80,77.48,-69.36,-9.02,6.17
68,Ancud,0,ZA,1551815188,78,-34.42,19.24,69.01,4.0
69,Puerto Ayora,8,BR,1551815840,77,-8.27,-72.74,85.03,1.7
70,Muros,0,PH,1551815902,100,13.32,122.68,78.55,5.95
71,Illoqqortoormiut,75,CL,1551812400,82,-42.48,-73.76,59.0,17.22
72,Fuling,0,PF,1551815609,100,-9.8,-139.03,82.51,19.04
73,Bredasdorp,0,OM,1551811800,53,17.01,54.1,77.0,3.36
74,Thompson,90,CA,1551815836,57,45.36,-73.48,21.2,11.65
75,Buin,75,GL,1551811800,50,60.91,-46.05,30.2,4.7
76,Rikitea,75,CA,1551815604,48,50.2,-66.38,19.4,23.04
77,Tiksi,24,CN,1551815904,84,29.72,112.52,43.45,5.28
79,Lambarene,1,US,1551815777,31,30.04,-94.42,48.2,14.99
80,Zhangye,0,AU,1551815902,89,-33.21,138.6,50.29,10.98
81,Samusu,75,CL,1551812400,82,-41.87,-73.83,59.0,17.22
82,Barrow,0,ZA,1551815188,78,-34.42,19.24,69.01,4.0
83,Faanui,20,GL,1551811800,48,69.22,-51.1,17.6,10.29
85,Bardiyah,44,TL,1551815916,92,-8.93,125.41,70.05,0.58
86,Ribeira Grande,0,PF,1551815609,100,-9.8,-139.03,82.51,19.04
87,Cockburn Town,64,GL,1551815916,100,72.79,-56.15,12.45,8.63
88,Praia Da Vitoria,40,CL,1551814990,40,-53.16,-70.91,51.8,25.28
89,Clyde River,0,UY,1551815719,82,-33.69,-53.46,74.77,10.87
90,Kalianget,0,PF,1551815609,100,-9.8,-139.03,82.51,19.04
91,Babanusah,20,IR,1551812400,68,34.5,47.96,32.0,4.7
92,Chernyshevskiy,90,CA,1551813780,84,66.15,-65.72,-2.21,9.17
93,San Patricio,92,PT,1551815919,94,41.42,-6.55,52.09,15.68
94,Cayenne,44,AU,1551815774,36,-33.64,115.35,60.01,22.06
95,Dwarka,76,BR,1551815919,77,-28.15,-54.74,83.59,6.06
96,Arraial Do Cabo,88,RU,1551815920,84,69.7,170.27,4.98,2.59
98,Barentsburg,88,AU,1551815822,75,-23.58,149.07,75.58,8.63
99,Tsihombe,80,RU,1551815922,68,68.75,161.3,-1.33,3.27
101,Atuona,5,CA,1551812400,77,68.22,-135.01,14.0,8.05
102,Yellowknife,75,AR,1551814260,75,-54.81,-68.31,50.0,29.97
103,Bethel,40,CL,1551815589,40,-53.16,-70.91,51.8,25.28
106,Porto Walter,24,ET,1551815777,91,8.96,38.73,48.67,3.94
108,Phan Thiet,64,BR,1551815745,100,-17.73,-39.27,84.0,11.21
109,Castro,8,AR,1551815988,21,-38.31,-60.23,80.71,12.44
111,Nishihara,24,CD,1551815989,88,-5.35,21.42,75.27,1.81
112,Salalah,40,BR,1551816000,83,-22.97,-42.02,82.4,18.34
114,Tabuk,75,IS,1551815656,100,63.84,-22.43,32.0,5.82
115,Narsaq,90,IE,1551815892,87,53.8,-9.52,48.0,6.93
118,Dongsheng,68,PF,1551815832,100,-23.12,-134.97,79.68,15.23
119,Mehamn,24,UA,1551815992,83,47.17,37.7,40.08,11.21
120,Yenagoa,80,KZ,1551815993,98,49.15,56.49,32.2,9.42
122,Sao Felix Do Xingu,75,AR,1551814260,75,-54.81,-68.31,50.0,29.97
124,Saleaula,88,AU,1551815997,75,-23.58,149.07,75.58,8.63
128,Ilulissat,68,PF,1551815832,100,-23.12,-134.97,79.68,15.23
129,Lufilufi,20,ES,1551815945,55,43.55,-5.92,64.99,4.7
130,Hithadhoo,36,CA,1551815999,100,47.61,-57.61,28.69,31.12
133,Larap,40,TT,1551815161,51,10.24,-61.45,86.0,18.34
134,Upernavik,68,PF,1551815832,100,-23.12,-134.97,79.68,15.23
135,Port Augusta,80,RU,1551816000,72,60.11,32.31,20.1,12.21
137,Chuy,92,RU,1551816002,94,58.46,36.41,36.61,13.0
138,Tilichiki,76,MX,1551816011,59,27.97,-114.04,71.98,5.73
140,Kangavar,90,US,1551815929,100,36.97,-122.03,55.99,3.36
143,Saldanha,20,EC,1551812400,66,-0.74,-90.35,84.2,10.29
144,Pinhao,20,CA,1551815891,65,62.45,-114.38,12.0,3.36
146,Cerro Largo,0,PH,1551816056,100,13.32,122.68,78.55,5.95
147,Green River,8,SO,1551816059,90,5.35,48.53,76.75,13.78
148,Pevek,44,TL,1551816068,92,-8.93,125.41,70.05,0.58
153,Cherskiy,75,IS,1551815656,100,63.84,-22.43,32.0,5.82
154,Pitimbu,68,PF,1551815832,100,-23.12,-134.97,79.68,15.23
155,Samarai,75,US,1551816143,56,21.35,-158.09,75.2,9.17
156,Nguiu,75,CA,1551812400,59,55.74,-97.86,1.4,11.41
157,Sirsi,0,CN,1551816151,68,40.77,114.88,17.8,6.17
162,Port Elizabeth,40,PT,1551816057,76,38.73,-27.07,55.4,24.85
165,Brigantine,75,AU,1551816134,58,-42.88,147.33,53.6,10.29
166,Port Hardy,0,NZ,1551816009,95,-46.19,168.86,62.01,14.0
167,Caravelas,75,BN,1551814200,100,5.28,115.24,78.8,4.61
170,Laguna,76,RU,1551816171,71,71.98,102.47,-6.32,6.85
174,Bisho,8,ZA,1551816110,89,-33.59,26.89,70.0,4.0
176,Grindavik,8,VE,1551816176,55,11.61,-70.22,85.93,21.5
178,Ziro,75,PW,1551811800,83,7.04,134.26,78.8,10.29
179,Struer,40,CL,1551815589,40,-53.16,-70.91,51.8,25.28
183,Palmas,68,PF,1551815832,100,-23.12,-134.97,79.68,15.23
186,Shubarkuduk,40,CL,1551815589,40,-53.16,-70.91,51.8,25.28
187,Esperance,76,CN,1551816194,100,22.82,115.83,67.21,5.95
188,Almeria,0,NZ,1551816009,95,-46.19,168.86,62.01,14.0
191,Egvekinot,5,CA,1551812400,84,69.44,-133.03,8.6,10.29
193,Puerto Padre,0,ZA,1551815685,33,-30.97,22.13,65.32,6.73
194,Mau,24,CO,1551816200,87,10.03,-74.62,85.66,4.94
196,Bandarbeyla,32,GL,1551815970,80,77.48,-69.36,-9.02,6.17
197,Itarema,0,ML,1551816221,19,22.68,-3.98,60.37,6.73
199,Hambantota,5,CA,1551815564,76,63.75,-68.52,-9.01,3.36
200,Codrington,32,RU,1551816282,51,53.13,132.9,-0.83,4.38
201,Burgeo,75,AR,1551814260,75,-54.81,-68.31,50.0,29.97
202,Marsa Matruh,0,ZA,1551816283,76,-34.0,24.73,67.75,13.56
211,Cortez,75,AR,1551814260,75,-54.81,-68.31,50.0,29.97
213,Guerrero Negro,92,BR,1551816083,84,-24.25,-49.71,74.95,5.39
216,Santa Cruz,8,BS,1551816243,88,26.54,-77.06,80.8,14.79
217,Kununurra,20,EC,1551812400,66,-0.74,-90.35,84.2,10.29
218,Bengkulu,20,ID,1551816212,97,-1.6,103.62,72.34,1.92
219,Arvika,64,TZ,1551816289,93,-5.96,34.11,62.13,3.15
221,Takoradi,68,PF,1551815832,100,-23.12,-134.97,79.68,15.23
223,Hilo,32,GL,1551815970,80,77.48,-69.36,-9.02,6.17
224,Fortuna,75,MX,1551816016,27,26.85,-109.72,82.0,5.82
225,San Andres,5,CA,1551812400,84,69.44,-133.03,8.6,10.29
226,Gazojak,75,US,1551816067,84,64.84,-147.72,26.01,9.42
227,Banjar,76,BR,1551816151,81,-10.41,-36.43,80.26,8.52
230,Hermanus,68,BR,1551816132,81,-30.17,-50.22,79.18,3.94
232,Seymchan,0,NA,1551816172,75,-26.65,15.16,63.43,14.67
234,Hervey Bay,20,BZ,1551812400,70,18.04,-88.66,87.8,9.17
235,Hobart,40,PT,1551814200,62,38.52,-28.7,55.4,5.82
239,Inhambane,75,AR,1551814260,75,-54.81,-68.31,50.0,29.97
242,Wanning,80,MM,1551816294,77,20.18,94.88,72.07,2.59
244,Lasa,32,GL,1551815970,80,77.48,-69.36,-9.02,6.17
248,Aragats,90,LT,1551813600,86,55.93,23.32,30.2,14.99
250,Alofi,20,GH,1551812400,83,5.58,-0.11,84.2,14.99
251,Iquique,5,MX,1551816016,12,23.99,-104.67,81.0,6.93
252,Constitucion,0,ZA,1551816055,77,-34.42,19.24,69.01,8.01
254,Sataua,75,CA,1551816214,61,43.47,-80.52,18.0,19.46
257,Banda Aceh,0,RU,1551814200,75,48.03,40.04,44.6,22.37
259,Wagga Wagga,75,AU,1551816134,58,-42.88,147.33,53.6,10.29
260,Assiniboia,0,AU,1551812400,33,-25.24,130.99,77.0,9.17
261,Paka,68,PF,1551815832,100,-23.12,-134.97,79.68,15.23
266,Ceres,75,AR,1551814260,75,-54.81,-68.31,50.0,29.97
268,Suifenhe,8,AR,1551815988,21,-38.31,-60.23,80.71,12.44
269,Porto Santo,75,GL,1551811800,48,65.61,-37.64,17.6,25.28
273,Belushya Guba,40,CL,1551815589,40,-53.16,-70.91,51.8,25.28
275,Kloulklubed,92,MV,1551816157,100,-0.6,73.08,82.2,7.18
280,Antalaha,36,AU,1551816430,100,-34.72,135.86,59.43,13.67
282,Botou,56,ID,1551816431,93,-2.08,101.38,66.85,0.92
285,Rio Gallegos,1,US,1551816113,32,33.45,-88.82,43.0,9.17
288,Oranjestad,0,UY,1551816206,82,-33.69,-53.46,74.77,10.87
289,Jieshi,75,ES,1551816432,87,42.77,-9.06,57.99,17.22
292,Avarua,0,ZA,1551815685,33,-30.97,22.13,65.32,6.73
293,Darhan,0,CA,1551816010,73,48.65,-53.11,30.0,23.0
294,Karaul,12,NA,1551816124,90,-22.12,14.28,68.0,5.01
296,Mawlamyine,92,ID,1551812400,94,-3.01,114.39,75.2,5.82
297,Havre-Saint-Pierre,0,ZA,1551816449,65,-32.25,24.53,67.39,3.94
299,Tigil,40,CL,1551815589,40,-53.16,-70.91,51.8,25.28
301,Vire,40,US,1551815715,32,42.65,-73.75,30.0,3.36
303,Nabire,75,FR,1551816019,81,47.55,-2.56,52.0,16.11
304,Taoudenni,40,BR,1551812400,70,-20.67,-40.5,86.0,5.82
305,Georgetown,40,US,1551815715,32,42.65,-73.75,30.0,3.36
306,Huntsville,88,IN,1551816511,95,20.84,84.32,68.97,4.94
307,Iqaluit,92,IR,1551816304,100,34.74,60.78,39.63,12.88
308,Kaitangata,90,US,1551816331,88,19.71,-155.08,66.2,8.05
311,Tabas,0,NZ,1551816009,95,-46.19,168.86,62.01,14.0
312,Kruisfontein,1,US,1551812160,55,55.34,-131.65,39.2,11.41
313,Quzhou,0,RU,1551816513,80,55.9,94.89,17.67,7.52
314,Baisha,20,EC,1551812400,66,-0.74,-90.35,84.2,10.29
317,Boa Vista,0,NZ,1551816009,95,-46.19,168.86,62.01,14.0
318,Qandahar,0,SA,1551812400,82,18.22,42.5,60.8,5.82
320,Krasnoselkup,75,AR,1551814260,75,-54.81,-68.31,50.0,29.97
321,Eirunepe,75,US,1551816089,49,38.18,-83.43,30.2,14.99
324,Galgani,75,AR,1551814260,75,-54.81,-68.31,50.0,29.97
326,Chapais,92,PT,1551816000,94,41.42,-6.55,52.09,15.68
329,Nikolskoye,0,AU,1551812400,33,-25.24,130.99,77.0,9.17
330,Mmabatho,32,AR,1551815819,43,-46.43,-67.52,66.27,26.64
334,Alpena,20,LA,1551816518,84,14.89,105.88,74.68,3.49
335,Marsh Harbour,68,PF,1551815832,100,-23.12,-134.97,79.68,15.23
336,Changying,56,NG,1551816519,93,7.14,5.26,75.04,4.16
340,Mgandu,24,RU,1551816523,33,62.22,135.8,-23.24,0.92
341,Nemuro,20,CA,1551815891,65,62.45,-114.38,12.0,3.36
344,Ponta Do Sol,75,AR,1551814260,75,-54.81,-68.31,50.0,29.97
346,Qaanaaq,32,CN,1551816551,71,40.29,97.04,23.7,4.61
350,Pisco,32,AR,1551816380,43,-46.43,-67.52,66.27,26.64
352,Piacabucu,40,CL,1551815589,40,-53.16,-70.91,51.8,25.28
356,Vardo,0,GN,1551816702,32,11.45,-11.68,73.24,6.62
357,Cidreira,8,NA,1551816482,36,-18.06,13.84,76.62,8.41
358,Flinders,0,NZ,1551816009,95,-46.19,168.86,62.01,14.0
362,Benguela,0,NZ,1551816009,95,-46.19,168.86,62.01,14.0
363,San Lazaro,0,IN,1551816718,86,15.34,74.49,57.58,2.59
364,Kavaratti,1,US,1551816698,35,35.88,-80.08,48.0,6.93
366,Sentyabrskiy,0,NZ,1551816009,95,-46.19,168.86,62.01,14.0
368,Longyearbyen,24,ET,1551815777,91,8.96,38.73,48.67,3.94
369,Kolobrzeg,75,AR,1551814260,75,-54.81,-68.31,50.0,29.97
373,Sur,8,ZA,1551816110,89,-33.59,26.89,70.0,4.0
374,Florianopolis,90,NO,1551813600,92,71.03,27.85,17.6,21.92
383,Flin Flon,0,AU,1551812400,68,-31.97,141.45,64.4,21.92
386,Primorsko-Akhtarsk,40,CL,1551815589,40,-53.16,-70.91,51.8,25.28
387,Victoria,20,CA,1551815891,65,62.45,-114.38,12.0,3.36
388,Khumalag,0,AU,1551814200,78,-20.31,118.58,82.4,5.82
389,Teshie,88,ID,1551816897,96,-5.36,104.98,71.58,1.14
390,Saint-Augustin,40,US,1551816679,50,20.89,-156.47,75.2,18.34
395,Waterloo,40,BR,1551816000,70,-6.09,-35.21,84.2,17.22
396,Virginia Beach,0,ZA,1551816822,88,-33.93,18.42,69.01,14.99
398,Sao Joao Da Barra,0,ZA,1551816055,73,-34.53,20.04,69.8,9.17
399,Redlands,75,AU,1551816134,58,-42.88,147.33,53.6,10.29
402,Nouadhibou,1,US,1551812160,55,55.34,-131.65,39.2,11.41
405,Caruray,1,US,1551816963,65,43.41,-124.22,41.0,4.5
408,Amparafaravola,44,AU,1551816076,36,-33.64,115.35,60.01,22.06
415,Saint-Philippe,0,AU,1551817068,89,-33.21,138.6,50.29,10.98
419,Fare,0,SD,1551816000,60,19.1,37.33,73.4,8.05
420,Chegdomyn,0,RU,1551817069,0,69.3,139.9,-37.46,2.59
430,Ivybridge,0,FR,1551817045,76,47.67,-2.99,52.0,20.8
432,Saint Andrews,40,US,1551815715,32,42.65,-73.75,30.0,3.36
435,Sorong,68,PF,1551815832,100,-23.12,-134.97,79.68,15.23
436,Labuhan,0,AU,1551817068,89,-33.21,138.6,50.29,10.98
441,Huazolotitlan,40,BR,1551816000,78,-5.2,-35.46,82.4,9.17
442,Starkville,0,IN,1551817078,72,27.69,78.38,54.88,5.95
443,Russell,40,GY,1551812400,70,6.8,-58.16,87.8,11.41
445,Yerbogachen,32,TD,1551817079,29,9.45,18.94,84.31,5.61
446,Zhanaozen,20,GL,1551815400,52,69.22,-51.1,15.8,12.75
453,Saint-Pierre,92,KI,1551817172,100,3.07,172.79,76.12,9.53
454,Bonavista,40,US,1551815715,32,42.65,-73.75,30.0,3.36
455,Anadyr,20,EC,1551812400,66,-0.74,-90.35,84.2,10.29
457,Merritt Island,44,CN,1551817176,84,28.29,114.55,46.78,1.14
458,Te Anau,0,OM,1551811800,53,17.01,54.1,77.0,3.36
459,New Norfolk,32,AR,1551817177,43,-46.43,-67.52,66.27,26.64
460,Graaff-Reinet,75,AU,1551816134,58,-42.88,147.33,53.6,10.29
461,Grand-Lahou,90,US,1551816331,88,19.71,-155.08,66.2,8.05
465,Dunedin,75,BN,1551814200,100,5.28,115.24,78.8,4.61
468,Souillac,40,GY,1551812400,70,6.8,-58.16,87.8,11.41
469,Ambon,75,IE,1551814200,100,51.55,-9.27,46.4,16.11
471,Burnie,12,MG,1551817180,86,-20.3,44.28,81.93,4.94
473,Klaksvik,76,RU,1551816171,71,71.98,102.47,-6.32,6.85
475,Taybad,56,CK,1551814200,61,-21.21,-159.78,80.6,8.05
476,Berlevag,90,US,1551815760,100,60.79,-161.76,33.8,12.75
477,Havoysund,0,AU,1551817068,89,-33.21,138.6,50.29,10.98
479,Geraldton,0,IN,1551816718,86,15.34,74.49,57.58,2.59
483,Denpasar,64,RU,1551817186,100,73.51,80.55,10.96,14.67
484,Borodino,0,ZM,1551817187,64,-13.55,23.12,71.58,3.94
485,Hasaki,75,PT,1551816957,87,32.7,-16.77,60.8,14.99
486,Teguldet,0,AU,1551817068,89,-33.21,138.6,50.29,10.98
487,Ngunguru,44,GH,1551817041,95,4.89,-1.75,83.95,9.31
492,Abha,0,PF,1551817188,100,-9.8,-139.03,82.51,19.04
493,Sorland,1,US,1551812160,55,55.34,-131.65,39.2,11.41
496,Acacias,8,RU,1551817190,78,68.05,39.51,5.52,17.02
499,Chaman,80,GL,1551817190,100,60.14,-45.24,26.08,20.04
503,Michigan City,92,RU,1551817261,97,65.58,-170.99,28.47,14.45
504,Kahta,75,CA,1551816000,83,70.47,-68.59,-4.01,4.5
509,Halifax,8,AR,1551817128,21,-38.31,-60.23,80.71,12.44
513,Necochea,0,PG,1551817291,99,-3.66,152.44,83.14,5.95
514,Lucea,75,AR,1551814260,75,-54.81,-68.31,50.0,29.97
515,Odweyne,90,US,1551816021,56,22.08,-159.32,71.6,18.34
516,Sinnamary,0,PK,1551817300,77,27.85,67.91,55.83,2.82
521,Severo-Kurilsk,0,NE,1551817303,44,18.74,7.39,64.51,2.59
523,Orlik,1,US,1551817060,40,39.31,-74.98,39.0,13.87
529,Mount Darwin,20,GL,1551815400,52,68.82,-51.19,15.8,12.75
531,Ahipara,76,RU,1551814200,71,53.05,158.65,3.2,6.71
533,Shingu,44,MX,1551817234,15,27.75,-107.63,70.95,5.39
535,Cockburn Harbour,8,AR,1551817321,23,-43.3,-65.11,74.5,18.03
536,Olafsvik,90,CA,1551816000,60,49.72,-86.95,5.0,6.93
540,Cedar City,40,BR,1551816000,83,-22.97,-42.02,82.4,18.34
542,Beni,75,AU,1551816134,58,-42.88,147.33,53.6,10.29
543,Talnakh,88,AU,1551817258,75,-23.58,149.07,75.58,8.63
544,Inderborskiy,0,RU,1551814200,50,53.6,91.39,30.2,6.71
547,Umm Lajj,75,AR,1551814260,75,-54.81,-68.31,50.0,29.97
550,Chokurdakh,75,BR,1551816000,88,-10.15,-67.74,80.6,11.41
552,Fuyang,1,US,1551817331,28,31.46,-103.39,45.0,4.7
555,Opuwo,75,BN,1551814200,100,5.28,115.24,78.8,4.61
556,Thinadhoo,0,ZA,1551817178,76,-34.0,24.73,67.75,13.56
564,Sao Bento Do Sul,40,CA,1551816507,74,47.66,-52.73,30.0,29.97
566,Thomasville,68,PF,1551817116,100,-23.12,-134.97,79.68,15.23
570,Kota Bahru,0,IN,1551817181,86,15.34,74.49,57.58,2.59
571,Kirakira,8,AR,1551817128,21,-38.31,-60.23,80.71,12.44
575,Shelburne,0,PF,1551817188,100,-9.8,-139.03,82.51,19.04
576,Vostok,40,AU,1551817058,78,-23.53,148.16,77.0,9.17
577,Saint George,5,CA,1551812400,84,69.44,-133.03,8.6,10.29
578,Miyako,0,ZA,1551816947,77,-34.53,20.04,69.8,6.93
579,Terrace,1,US,1551817125,25,29.35,-99.14,55.99,6.93
580,Swindon,0,FR,1551817227,62,45.6,-0.6,55.99,9.17
583,Gombe,75,US,1551817426,57,39.95,-94.76,24.01,19.46
584,Minot,8,RU,1551817469,58,67.55,63.78,-6.95,11.21
586,Honiara,90,CA,1551816000,78,58.81,-122.69,12.2,2.24
587,Norman Wells,75,GB,1551817110,93,51.04,-4.21,50.0,16.11
592,Savannah Bight,40,CA,1551817337,61,45.36,-73.48,21.2,17.22
596,San Rafael Del Sur,20,NZ,1551817348,71,-45.87,170.5,66.99,7.0
598,Chabahar,64,RU,1551817333,82,42.9,133.91,21.45,2.15
599,Reyes,12,ID,1551817473,99,5.56,95.32,72.48,2.93
603,Port Hedland,0,IN,1551817181,86,15.34,74.49,57.58,2.59
605,Dolores,0,NZ,1551817208,95,-46.19,168.86,63.0,1.01
606,Marcona,40,CL,1551817423,40,-53.16,-70.91,51.8,25.28
608,Qaqortoq,40,CA,1551817337,61,45.36,-73.48,21.2,17.22
611,Homer,0,ES,1551816000,72,28.5,-13.86,64.4,5.82
613,Katsuura,0,IN,1551817181,86,15.34,74.49,57.58,2.59
618,Namtsy,12,AU,1551817240,88,-32.72,152.14,75.0,4.7
621,Komsomolskiy,68,PF,1551817116,100,-23.12,-134.97,79.68,15.23
622,Buala,68,PF,1551817116,100,-23.12,-134.97,79.68,15.23
623,Bealanana,68,PF,1551817116,100,-23.12,-134.97,79.68,15.23
624,Maarianhamina,20,MU,1551817445,78,-20.41,57.7,80.6,6.93
625,Ketchikan,40,GY,1551812400,70,6.8,-58.16,87.8,11.41
631,Lesogorsk,100,GA,1551817388,100,-3.44,10.65,78.46,3.94
632,Sao Miguel Do Araguaia,90,CA,1551816420,84,66.15,-65.72,-2.21,5.82
640,Cranbourne,12,NA,1551816124,90,-22.12,14.28,68.0,5.01
641,Catamarca,68,CN,1551817666,97,24.79,112.38,50.92,1.7
642,Kieta,40,BR,1551816000,78,-5.2,-35.46,82.4,9.17
643,Hirara,40,CA,1551816000,84,60.82,-115.79,6.8,4.7
644,Beloha,88,RU,1551817676,82,66.77,123.37,5.52,8.97
645,Tocopilla,88,AU,1551817676,75,-23.58,149.07,75.58,8.63
652,Sawakin,32,IN,1551817560,90,16.73,82.22,78.19,4.94
656,Boissevain,75,CL,1551812400,82,-41.87,-73.83,59.0,17.22
657,Hamilton,92,KI,1551816881,100,3.07,172.79,76.12,9.53
661,Bridlington,40,PT,1551814200,62,38.52,-28.7,55.4,5.82
667,Moratuwa,88,RU,1551817505,80,67.47,78.7,3.58,15.46
671,Grand River South East,92,RU,1551817595,97,64.42,-173.23,27.52,9.53
672,Chilliwack,75,ID,1551817756,88,-6.28,106.88,75.2,5.82
678,Bac Can,0,AU,1551817783,89,-33.21,138.6,50.29,10.98
679,Amderma,0,ZA,1551817023,79,-34.42,19.24,68.0,5.99
686,Touros,0,IN,1551817787,86,15.34,74.49,57.58,2.59
688,Grojec,0,ML,1551817788,18,20.2,1.01,61.95,8.3
691,Abu Samrah,20,GL,1551815400,52,68.82,-51.19,15.8,12.75
695,Andra,64,RU,1551817186,100,73.51,80.55,10.96,14.67
696,Kodiak,44,AU,1551817582,36,-33.64,115.35,60.01,22.06
699,Tuatapere,75,AU,1551817514,58,-42.88,147.33,53.6,10.29
702,Tura,0,EG,1551817882,58,24.09,32.9,55.2,8.86
703,Uong Bi,75,AR,1551814260,75,-54.81,-68.31,50.0,29.97
706,Alice Springs,48,GF,1551817893,74,3.17,-52.33,81.16,3.15
707,Torbay,75,CL,1551812400,82,-42.48,-73.76,59.0,17.22
708,Waw,32,GL,1551817898,80,77.48,-69.36,-9.02,6.17
711,Ye,0,IN,1551817787,86,15.34,74.49,57.58,2.59
715,Lagoa,68,GB,1551815400,60,60.4,-1.35,39.2,12.75
716,Seduva,5,CA,1551816000,84,69.44,-133.03,8.6,10.29
720,Cabo San Lucas,40,BR,1551816000,78,-5.2,-35.46,82.4,9.17
721,Berea,48,PY,1551817328,75,-26.98,-56.83,80.67,5.17
723,Ekhabi,40,CL,1551817423,40,-53.16,-70.91,51.8,25.28
726,Hofn,92,KI,1551817931,100,3.07,172.79,76.12,9.53
727,Port Blair,90,US,1551817576,88,19.71,-155.08,66.2,8.05
729,Waingapu,75,PT,1551817329,87,37.14,-8.45,60.8,9.17
734,Bilma,0,PE,1551816000,30,-13.71,-76.2,71.6,21.92
